Year,Season,Origin City,Destination City,Passengers,Airline,Predicted Price Per Person (USD),Latitude,Longitude
2024,early summer,San Francisco,Seattle,1,Delta,230.8142753,47.6062,-122.3321
2024,early summer,San Francisco,Seattle,2,Delta,101.6438785,47.6062,-122.3321
2024,early summer,San Francisco,Seattle,3,Delta,69.9025837,47.6062,-122.3321
2024,early summer,San Francisco,Seattle,4,Delta,50.26625759,47.6062,-122.3321
2024,early summer,San Francisco,Seattle,1,Delta,234.8311053,47.6062,-122.3321
2024,early summer,San Francisco,Nashville,1,Delta,332.7700573,36.1627,-86.7816
2024,early summer,San Francisco,Nashville,2,Delta,141.0167713,36.1627,-86.7816
2024,early summer,San Francisco,Nashville,3,Delta,98.26152676,36.1627,-86.7816
2024,early summer,San Francisco,Nashville,1,Delta,318.2744627,36.1627,-86.7816
2024,early summer,San Francisco,Boston,1,Delta,512.4606028,42.3601,-71.0589
2024,early summer,San Francisco,Boston,2,Delta,207.5089838,42.3601,-71.0589
2024,early summer,San Francisco,Boston,1,Delta,537.0266647,42.3601,-71.0589
2024,early summer,San Francisco,New York,1,Delta,544.3378931,40.7128,-74.006
2024,early summer,San Francisco,New York,1,Delta,623.585459,40.7128,-74.006
2024,early summer,San Francisco,New York,1,Delta,550.0531091,40.7128,-74.006
2024,early summer,San Francisco,"Washington, DC",1,Delta,434.0973256,38.9072,-77.0369
2024,early summer,San Francisco,"Washington, DC",1,Delta,430.0984949,38.9072,-77.0369
2024,early summer,San Francisco,"Washington, DC",2,Delta,188.4522034,38.9072,-77.0369
2024,early summer,San Francisco,Boston,1,Delta,268.3205407,42.3601,-71.0589
2024,early summer,San Francisco,"Washington, DC",1,Delta,417.2008562,38.9072,-77.0369
2024,early summer,San Francisco,"Washington, DC",2,Delta,175.5545647,38.9072,-77.0369
2024,early summer,San Francisco,New York,1,Delta,596.5905598,40.7128,-74.006
2024,early summer,San Francisco,Boston,1,Delta,491.5836999,42.3601,-71.0589
2024,early summer,San Francisco,New York,1,Delta,504.5519788,40.7128,-74.006
2024,early summer,San Francisco,New York,1,Delta,520.8725136,40.7128,-74.006
2024,early summer,San Francisco,New York,1,Delta,323.772002,40.7128,-74.006
2024,early summer,San Francisco,New York,1,Delta,467.2959079,40.7128,-74.006
2024,early summer,San Francisco,New York,2,Delta,194.3532309,40.7128,-74.006
2024,early summer,San Francisco,Boston,1,Delta,478.9497926,42.3601,-71.0589
2024,early summer,San Francisco,New York,1,Delta,477.3203528,40.7128,-74.006
2024,early summer,San Francisco,New York,1,Delta,435.87468,40.7128,-74.006
2024,early summer,San Francisco,Chicago,1,Delta,416.6952771,41.8781,-87.6298
2024,early summer,San Francisco,New Orleans,1,Delta,314.285093,29.9511,-90.0715
2024,early summer,San Francisco,New Orleans,4,Delta,54.037949,29.9511,-90.0715
2024,early summer,San Francisco,New Orleans,2,Delta,115.5580126,29.9511,-90.0715
2024,early summer,San Francisco,Chicago,1,Delta,397.2524278,41.8781,-87.6298
2024,early summer,San Francisco,Boston,1,Delta,578.1221714,42.3601,-71.0589
2024,early summer,San Francisco,New York,1,Delta,416.0970814,40.7128,-74.006
2024,early summer,San Francisco,New York,1,Delta,561.9197679,40.7128,-74.006
2024,early summer,San Francisco,New York,1,Delta,378.834035,40.7128,-74.006
2024,early summer,San Francisco,Boston,1,Delta,433.0364294,42.3601,-71.0589
2024,early summer,San Francisco,Boston,2,Delta,188.0476812,42.3601,-71.0589
2024,early summer,San Francisco,Boston,3,Delta,109.680756,42.3601,-71.0589
2024,early summer,San Francisco,Boston,4,Delta,83.13254812,42.3601,-71.0589
2024,early summer,San Francisco,Boston,5,Delta,70.18324881,42.3601,-71.0589
2024,early summer,San Francisco,Boston,6,Delta,71.39860739,42.3601,-71.0589
2024,early summer,San Francisco,Boston,7,Delta,74.36541211,42.3601,-71.0589
2024,early summer,San Francisco,"Washington, DC",1,Delta,466.0682205,38.9072,-77.0369
2024,early summer,San Francisco,New York,1,Delta,473.7044767,40.7128,-74.006
2024,early summer,San Francisco,New York,1,Delta,447.7045595,40.7128,-74.006
2024,early summer,San Francisco,New York,1,Delta,465.4640439,40.7128,-74.006
2024,early summer,San Francisco,New York,1,Delta,374.4034656,40.7128,-74.006
2024,early summer,San Francisco,Boston,1,Delta,367.399079,42.3601,-71.0589
2024,early summer,San Francisco,Nashville,1,Delta,340.2851586,36.1627,-86.7816
2024,early summer,San Francisco,Boston,1,Delta,471.3595863,42.3601,-71.0589
2024,early summer,San Francisco,Boston,1,Delta,418.9616596,42.3601,-71.0589
2024,early summer,San Francisco,Boston,1,Delta,279.9087618,42.3601,-71.0589
2024,early summer,San Francisco,New York,1,Delta,313.9657901,40.7128,-74.006
2024,early summer,San Francisco,New York,1,Delta,379.8557267,40.7128,-74.006
2024,early summer,San Francisco,"Washington, DC",1,Delta,401.1740891,38.9072,-77.0369
2024,early summer,San Francisco,New York,1,Delta,417.0807677,40.7128,-74.006
2024,early summer,San Francisco,New York,1,Delta,403.4554309,40.7128,-74.006
2024,early summer,San Francisco,"Washington, DC",2,Delta,193.1537671,38.9072,-77.0369
2024,early summer,San Francisco,New York,1,Delta,364.473566,40.7128,-74.006
2024,early summer,San Francisco,"Washington, DC",1,Delta,381.9780308,38.9072,-77.0369
2024,early summer,San Francisco,New York,1,Delta,375.6186348,40.7128,-74.006
2024,early summer,San Francisco,"Washington, DC",1,Delta,439.0814586,38.9072,-77.0369
2024,early summer,San Francisco,New York,1,Delta,435.9329551,40.7128,-74.006
2024,early summer,San Francisco,New York,1,Delta,370.6666496,40.7128,-74.006
2024,early summer,San Francisco,New York,2,Delta,154.6069221,40.7128,-74.006
2024,early summer,San Francisco,Chicago,1,Delta,352.6334603,41.8781,-87.6298
2024,early summer,San Francisco,New Orleans,1,Delta,409.2141856,29.9511,-90.0715
2024,early summer,San Francisco,Chicago,1,Delta,359.7124286,41.8781,-87.6298
2024,early summer,San Francisco,New York,1,Delta,366.2026542,40.7128,-74.006
2024,early summer,San Francisco,New York,1,Delta,417.9087914,40.7128,-74.006
2024,early summer,San Francisco,Chicago,1,Delta,802.901062,41.8781,-87.6298
2024,early summer,San Francisco,Boston,1,Delta,357.3993544,42.3601,-71.0589
2024,early summer,San Francisco,New York,1,Delta,543.93469,40.7128,-74.006
2024,early summer,San Francisco,New York,1,Delta,462.6160784,40.7128,-74.006
2024,early summer,San Francisco,New York,1,Delta,410.7488361,40.7128,-74.006
2024,early summer,San Francisco,"Washington, DC",1,Delta,268.0843206,38.9072,-77.0369
2024,early summer,San Francisco,New York,1,Delta,460.3048532,40.7128,-74.006
2024,early summer,San Francisco,New York,2,Delta,267.2219505,40.7128,-74.006
2024,early summer,San Francisco,New York,4,Delta,140.9884138,40.7128,-74.006
2024,early summer,San Francisco,New York,3,Delta,168.7049008,40.7128,-74.006
2024,early summer,San Francisco,New York,5,Delta,113.8414082,40.7128,-74.006
2024,early summer,San Francisco,New York,6,Delta,110.1861572,40.7128,-74.006
2024,early summer,San Francisco,New York,7,Delta,117.777012,40.7128,-74.006
2024,early summer,San Francisco,New York,8,Delta,117.777012,40.7128,-74.006
2024,early summer,San Francisco,New York,9,Delta,117.777012,40.7128,-74.006
2024,early summer,San Francisco,New York,20,Delta,114.966574,40.7128,-74.006
2024,early summer,San Francisco,New York,13,Delta,114.966574,40.7128,-74.006
2024,early summer,San Francisco,New York,10,Delta,117.777012,40.7128,-74.006
2024,early summer,San Francisco,New York,25,Delta,114.966574,40.7128,-74.006
2024,early summer,San Francisco,Boston,1,Delta,421.0586829,42.3601,-71.0589
2024,early summer,San Francisco,Boston,1,Delta,402.9649981,42.3601,-71.0589
2024,early summer,San Francisco,Boston,2,Delta,163.2816641,42.3601,-71.0589
2024,early summer,San Francisco,"Washington, DC",1,Delta,527.5765134,38.9072,-77.0369
2024,early summer,San Francisco,"Washington, DC",1,Delta,452.0183671,38.9072,-77.0369
2024,early summer,San Francisco,Chicago,1,Delta,430.5811064,41.8781,-87.6298
2024,early summer,San Francisco,Boston,1,Delta,477.3044527,42.3601,-71.0589
2024,early summer,San Francisco,Boston,1,Delta,442.6286299,42.3601,-71.0589
2024,early summer,San Francisco,Chicago,1,Delta,535.0952886,41.8781,-87.6298
2024,early summer,San Francisco,New Orleans,1,Delta,903.8336971,29.9511,-90.0715
2024,early summer,San Francisco,Chicago,1,Delta,492.4854618,41.8781,-87.6298
2024,early summer,San Francisco,Nashville,1,Delta,305.3114988,36.1627,-86.7816
2024,early summer,San Francisco,Nashville,2,Delta,116.4651833,36.1627,-86.7816
2024,early summer,San Francisco,Nashville,1,Delta,307.9770235,36.1627,-86.7816
2024,early summer,San Francisco,New York,1,Delta,504.1375748,40.7128,-74.006
2024,early summer,San Francisco,Boston,1,Delta,460.2202472,42.3601,-71.0589
2024,early summer,San Francisco,Boston,1,Delta,507.7946917,42.3601,-71.0589
2024,early summer,San Francisco,"Washington, DC",1,Delta,407.3221858,38.9072,-77.0369
2024,early summer,San Francisco,"Washington, DC",1,,421.2138044,38.9072,-77.0369
2024,early summer,San Francisco,Nashville,2,,58.71709734,36.1627,-86.7816
2024,early summer,San Francisco,Nashville,1,,253.7522988,36.1627,-86.7816
2024,early summer,San Francisco,Boston,1,,324.3492858,42.3601,-71.0589
2024,early summer,San Francisco,Boston,2,,95.91798561,42.3601,-71.0589
2024,early summer,San Francisco,Boston,3,,42.67987537,42.3601,-71.0589
2024,early summer,San Francisco,"Washington, DC",1,,432.3889075,38.9072,-77.0369
2024,early summer,San Francisco,Boston,1,,262.4000202,42.3601,-71.0589
2024,early summer,San Francisco,"Washington, DC",1,,354.074936,38.9072,-77.0369
2024,early summer,San Francisco,"Washington, DC",2,,166.3381302,38.9072,-77.0369
2024,early summer,San Francisco,"Washington, DC",3,,89.87818019,38.9072,-77.0369
2024,early summer,San Francisco,Chicago,1,,535.5985234,41.8781,-87.6298
2024,early summer,San Francisco,New York,1,,357.6836387,40.7128,-74.006
2024,early summer,San Francisco,New York,1,,434.7498598,40.7128,-74.006
2024,early summer,San Francisco,"Washington, DC",1,,362.4414297,38.9072,-77.0369
2024,early summer,San Francisco,"Washington, DC",3,,98.24467389,38.9072,-77.0369
2024,early summer,San Francisco,"Washington, DC",2,,174.7046239,38.9072,-77.0369
2024,early summer,San Francisco,New York,2,,79.83461809,40.7128,-74.006
2024,early summer,San Francisco,New York,1,,291.2209243,40.7128,-74.006
2024,early summer,San Francisco,New York,1,,415.0779571,40.7128,-74.006
2024,early summer,San Francisco,New York,1,,281.492576,40.7128,-74.006
2024,early summer,San Francisco,New York,3,,49.86109572,40.7128,-74.006
2024,early summer,San Francisco,New York,2,,88.40298301,40.7128,-74.006
2024,early summer,San Francisco,Chicago,1,,440.6827785,41.8781,-87.6298
2024,early summer,San Francisco,Boston,1,,408.3432444,42.3601,-71.0589
2024,early summer,San Francisco,New York,3,,85.56946031,40.7128,-74.006
2024,early summer,San Francisco,Boston,1,,645.9368674,42.3601,-71.0589
2024,early summer,San Francisco,Chicago,1,,653.794233,41.8781,-87.6298
2024,early summer,San Francisco,Boston,1,,557.731271,42.3601,-71.0589
2024,early summer,San Francisco,Nashville,1,,312.1458458,36.1627,-86.7816
2024,early summer,San Francisco,Nashville,2,,135.7319227,36.1627,-86.7816
2024,early summer,San Francisco,Boston,1,,372.9371246,42.3601,-71.0589
2024,early summer,San Francisco,New Orleans,1,,337.6192231,29.9511,-90.0715
2024,early summer,San Francisco,"Washington, DC",1,,368.9484762,38.9072,-77.0369
2024,early summer,San Francisco,"Washington, DC",4,,78.74613295,38.9072,-77.0369
2024,early summer,San Francisco,"Washington, DC",2,,181.2116704,38.9072,-77.0369
2024,early summer,San Francisco,"Washington, DC",5,,67.51500514,38.9072,-77.0369
2024,early summer,San Francisco,"Washington, DC",3,,96.82790256,38.9072,-77.0369
2024,early summer,San Francisco,"Washington, DC",1,,364.2423588,38.9072,-77.0369
2024,early summer,San Francisco,New York,1,,327.2016959,40.7128,-74.006
2024,early summer,San Francisco,New York,1,,329.8005756,40.7128,-74.006
2024,early summer,San Francisco,New York,2,,110.359154,40.7128,-74.006
2024,early summer,San Francisco,Chicago,1,,347.3028499,41.8781,-87.6298
2024,early summer,San Francisco,New Orleans,1,,290.1105271,29.9511,-90.0715
2024,early summer,San Francisco,New Orleans,2,,137.4900788,29.9511,-90.0715
2024,early summer,San Francisco,New Orleans,4,,77.36549981,29.9511,-90.0715
2024,early summer,San Francisco,New Orleans,3,,97.94656299,29.9511,-90.0715
2024,early summer,San Francisco,Chicago,1,,354.8593777,41.8781,-87.6298
2024,early summer,San Francisco,Chicago,1,,272.5917565,41.8781,-87.6298
2024,early summer,San Francisco,New York,1,,462.1083181,40.7128,-74.006
2024,early summer,San Francisco,New York,1,,356.1965925,40.7128,-74.006
2024,early summer,San Francisco,"Washington, DC",1,,458.7207818,38.9072,-77.0369
2024,early summer,San Francisco,Chicago,1,,670.9002541,41.8781,-87.6298
2024,early summer,San Francisco,New York,1,,432.2613235,40.7128,-74.006
2024,early summer,San Francisco,New York,3,,180.0404832,40.7128,-74.006
2024,early summer,San Francisco,New York,2,,269.2129159,40.7128,-74.006
2024,early summer,San Francisco,New York,4,,155.7884151,40.7128,-74.006
2024,early summer,San Francisco,New York,5,,131.3990901,40.7128,-74.006
2024,early summer,San Francisco,New York,6,,129.3694744,40.7128,-74.006
2024,early summer,San Francisco,New York,7,,135.4307105,40.7128,-74.006
2024,early summer,San Francisco,New York,17,,126.9476826,40.7128,-74.006
2024,early summer,San Francisco,New York,10,,137.7317403,40.7128,-74.006
2024,early summer,San Francisco,New York,12,,134.9213023,40.7128,-74.006
2024,early summer,San Francisco,New York,8,,137.7317403,40.7128,-74.006
2024,early summer,San Francisco,New York,23,,126.9476826,40.7128,-74.006
2024,early summer,San Francisco,New York,13,,134.9213023,40.7128,-74.006
2024,early summer,San Francisco,Boston,1,,296.4617957,42.3601,-71.0589
2024,early summer,San Francisco,Boston,1,,377.8853423,42.3601,-71.0589
2024,early summer,San Francisco,"Washington, DC",1,,416.3945209,38.9072,-77.0369
2024,early summer,San Francisco,"Washington, DC",2,,191.273202,38.9072,-77.0369
2024,early summer,San Francisco,"Washington, DC",1,,425.4718994,38.9072,-77.0369
2024,early summer,San Francisco,Boston,1,,342.7355784,42.3601,-71.0589
2024,early summer,San Francisco,New York,9,,137.7317403,40.7128,-74.006
2024,early summer,San Francisco,Nashville,1,,301.7802494,36.1627,-86.7816
2024,early summer,San Francisco,Nashville,2,,125.3663263,36.1627,-86.7816
2024,early summer,San Francisco,Boston,1,,366.3920276,42.3601,-71.0589
2024,early summer,San Francisco,"Washington, DC",1,,362.0630458,38.9072,-77.0369
2024,early summer,San Francisco,Chicago,1,,368.0798079,41.8781,-87.6298
2024,early summer,San Francisco,Honolulu,1,,317.5693429,21.3069,-157.8583
2024,early summer,San Francisco,New York,1,,318.4924928,40.7128,-74.006
2024,early summer,San Francisco,New York,2,,98.45739085,40.7128,-74.006
2024,early summer,San Francisco,"Washington, DC",1,,411.8159273,38.9072,-77.0369
2024,early summer,San Francisco,Chicago,1,,307.813132,41.8781,-87.6298
